Close Prices,Average Return,Variance,Drift,Price Daily Return (Log)
127.72000122070312,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
132.88999938964844,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
132.64999389648438,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
134.80999755859375,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
134.8000030517578,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
138.07000732421875,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
131.60000610351562,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
135.72000122070312,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
136.92999267578125,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
138.0,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
143.7100067138672,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
143.58999633789062,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
139.55999755859375,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
140.41000366210938,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
141.5399932861328,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
140.52000427246094,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
141.25,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
139.33999633789062,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
132.75999450683594,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
135.39999389648438,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
136.0500030517578,0.003443052575135985,0.0005543718936388226,0.003165866628316574,0.004789172259893892
