Simulation,Predicted Price,Average Return,Log Return,Simple Return
103,132.202,-0.0136078,-0.0396744,-0.0388976
104,132.316,-0.0136078,-0.0396744,-0.0388976
105,132.506,-0.0136078,-0.0396744,-0.0388976
106,132.935,-0.0136078,-0.0396744,-0.0388976
107,133.637,-0.0136078,-0.0396744,-0.0388976
108,132.291,-0.0136078,-0.0396744,-0.0388976
109,133.423,-0.0136078,-0.0396744,-0.0388976
110,133.056,-0.0136078,-0.0396744,-0.0388976
111,132.722,-0.0136078,-0.0396744,-0.0388976
112,132.683,-0.0136078,-0.0396744,-0.0388976
113,132.096,-0.0136078,-0.0396744,-0.0388976
114,132.534,-0.0136078,-0.0396744,-0.0388976
115,133.595,-0.0136078,-0.0396744,-0.0388976
116,132.568,-0.0136078,-0.0396744,-0.0388976
117,132.985,-0.0136078,-0.0396744,-0.0388976
118,134.073,-0.0136078,-0.0396744,-0.0388976
119,133.655,-0.0136078,-0.0396744,-0.0388976
120,132.778,-0.0136078,-0.0396744,-0.0388976
121,133.64,-0.0136078,-0.0396744,-0.0388976
122,132.896,-0.0136078,-0.0396744,-0.0388976
123,133.914,-0.0136078,-0.0396744,-0.0388976
124,133.676,-0.0136078,-0.0396744,-0.0388976
125,132.592,-0.0136078,-0.0396744,-0.0388976
126,132.383,-0.0136078,-0.0396744,-0.0388976
127,133.76,-0.0136078,-0.0396744,-0.0388976
128,132.95,-0.0136078,-0.0396744,-0.0388976
129,132.33,-0.0136078,-0.0396744,-0.0388976
130,132.628,-0.0136078,-0.0396744,-0.0388976
131,133.215,-0.0136078,-0.0396744,-0.0388976
132,132.804,-0.0136078,-0.0396744,-0.0388976
133,133.899,-0.0136078,-0.0396744,-0.0388976
134,133.325,-0.0136078,-0.0396744,-0.0388976
135,133.028,-0.0136078,-0.0396744,-0.0388976
136,132.175,-0.0136078,-0.0396744,-0.0388976
137,134.175,-0.0136078,-0.0396744,-0.0388976
138,132.436,-0.0136078,-0.0396744,-0.0388976
139,132.374,-0.0136078,-0.0396744,-0.0388976
140,133.364,-0.0136078,-0.0396744,-0.0388976
141,133.401,-0.0136078,-0.0396744,-0.0388976
142,133.004,-0.0136078,-0.0396744,-0.0388976
143,133.96,-0.0136078,-0.0396744,-0.0388976
144,133.405,-0.0136078,-0.0396744,-0.0388976
145,133.448,-0.0136078,-0.0396744,-0.0388976
146,133.323,-0.0136078,-0.0396744,-0.0388976
147,133.884,-0.0136078,-0.0396744,-0.0388976
148,132.206,-0.0136078,-0.0396744,-0.0388976
149,133.163,-0.0136078,-0.0396744,-0.0388976
150,133.307,-0.0136078,-0.0396744,-0.0388976
151,132.891,-0.0136078,-0.0396744,-0.0388976
152,132.574,-0.0136078,-0.0396744,-0.0388976
153,134.118,-0.0136078,-0.0396744,-0.0388976
154,132.574,-0.0136078,-0.0396744,-0.0388976
155,134.163,-0.0136078,-0.0396744,-0.0388976
156,132.477,-0.0136078,-0.0396744,-0.0388976
157,132.865,-0.0136078,-0.0396744,-0.0388976
158,133.69,-0.0136078,-0.0396744,-0.0388976
159,133.337,-0.0136078,-0.0396744,-0.0388976
160,133.104,-0.0136078,-0.0396744,-0.0388976
161,134.231,-0.0136078,-0.0396744,-0.0388976
162,132.325,-0.0136078,-0.0396744,-0.0388976
163,133.82,-0.0136078,-0.0396744,-0.0388976
164,133.897,-0.0136078,-0.0396744,-0.0388976
165,133.559,-0.0136078,-0.0396744,-0.0388976
166,132.618,-0.0136078,-0.0396744,-0.0388976
167,133.98,-0.0136078,-0.0396744,-0.0388976
168,133.5,-0.0136078,-0.0396744,-0.0388976
169,132.962,-0.0136078,-0.0396744,-0.0388976
170,132.123,-0.0136078,-0.0396744,-0.0388976
171,132.635,-0.0136078,-0.0396744,-0.0388976
172,132.138,-0.0136078,-0.0396744,-0.0388976
173,133.034,-0.0136078,-0.0396744,-0.0388976
174,132.365,-0.0136078,-0.0396744,-0.0388976
175,133.45,-0.0136078,-0.0396744,-0.0388976
176,132.255,-0.0136078,-0.0396744,-0.0388976
177,133.597,-0.0136078,-0.0396744,-0.0388976
178,133.102,-0.0136078,-0.0396744,-0.0388976
179,132.368,-0.0136078,-0.0396744,-0.0388976
